Date,Close
2024-08-29,2783.85009765625
2024-08-30,2778.10009765625
2024-09-02,2788.050048828125
2024-09-03,2793.89990234375
2024-09-04,2841.10009765625
2024-09-05,2836.25
2024-09-06,2838.449951171875
2024-09-09,2922.10009765625
2024-09-10,2898.5
2024-09-11,2904.949951171875
2024-09-12,2953.35009765625
2024-09-13,2933.949951171875
2024-09-16,2866.5
2024-09-17,2873.449951171875
2024-09-18,2876.449951171875
2024-09-19,2911.35009765625
2024-09-20,2979.60009765625
2024-09-23,3027.800048828125
2024-09-24,2950.199951171875
2024-09-25,2945.89990234375
2024-09-26,2985.25
2024-09-27,2966.0
2024-09-30,2959.39990234375
2024-10-01,2921.949951171875
2024-10-03,2895.300048828125
2024-10-04,2848.85009765625
2024-10-07,2834.25
2024-10-08,2816.5
2024-10-09,2769.10009765625
2024-10-10,2754.199951171875
2024-10-11,2780.550048828125
2024-10-14,2789.0
2024-10-15,2780.699951171875
2024-10-16,2781.10009765625
2024-10-17,2737.0
2024-10-18,2715.64990234375
2024-10-21,2693.60009765625
2024-10-22,2682.050048828125
2024-10-23,2658.0
2024-10-24,2502.949951171875
2024-10-25,2527.550048828125
2024-10-28,2575.25
2024-10-29,2549.199951171875
2024-10-31,2527.5
2024-11-01,2538.35009765625
2024-11-04,2525.89990234375
2024-11-06,2501.35009765625
2024-11-07,2475.60009765625
2024-11-08,2507.5
2024-11-11,2490.64990234375
2024-11-12,2461.35009765625
2024-11-13,2464.75
2024-11-14,2389.050048828125
2024-11-18,2423.449951171875
2024-11-19,2410.800048828125
2024-11-21,2383.25
2024-11-22,2445.39990234375
2024-11-25,2483.14990234375
2024-11-26,2479.050048828125
2024-11-27,2488.89990234375
2024-11-28,2463.85009765625
2024-11-29,2496.25
2024-12-02,2479.0
2024-12-03,2481.25
2024-12-04,2464.85009765625
2024-12-05,2492.75
2024-12-06,2484.14990234375
2024-12-09,2400.449951171875
2024-12-10,2396.64990234375
2024-12-11,2402.64990234375
2024-12-12,2344.550048828125
2024-12-13,2389.449951171875
2024-12-16,2365.949951171875
2024-12-17,2363.89990234375
2024-12-18,2357.35009765625
2024-12-19,2360.050048828125
2024-12-20,2334.949951171875
2024-12-23,2339.300048828125
2024-12-24,2336.300048828125
2024-12-26,2332.64990234375
2024-12-27,2340.25
2024-12-30,2344.300048828125
2024-12-31,2326.75
2025-01-01,2322.89990234375
2025-01-02,2370.10009765625
2025-01-03,2405.5
2025-01-06,2377.14990234375
2025-01-07,2391.550048828125
2025-01-08,2399.550048828125
2025-01-09,2435.64990234375
2025-01-10,2441.949951171875
2025-01-13,2453.0
2025-01-14,2367.64990234375
2025-01-15,2373.199951171875
2025-01-16,2345.89990234375
2025-01-17,2354.25
2025-01-20,2345.35009765625
2025-01-21,2340.39990234375
2025-01-22,2342.949951171875
2025-01-23,2322.89990234375
2025-01-24,2368.89990234375
2025-01-27,2392.39990234375
2025-01-28,2389.800048828125
2025-01-29,2384.199951171875
2025-01-30,2411.60009765625
2025-01-31,2471.300048828125
2025-02-01,2507.10009765625
2025-02-03,2441.39990234375
2025-02-04,2439.89990234375
2025-02-05,2390.39990234375
2025-02-06,2373.5
2025-02-07,2363.64990234375
2025-02-10,2363.550048828125
2025-02-11,2314.39990234375
2025-02-12,2331.89990234375
2025-02-13,2324.050048828125
2025-02-14,2318.050048828125
2025-02-17,2328.85009765625
2025-02-18,2295.800048828125
2025-02-19,2250.25
2025-02-20,2248.85009765625
2025-02-21,2241.60009765625
2025-02-24,2242.199951171875
2025-02-25,2260.199951171875
2025-02-27,2246.60009765625
2025-02-28,2191.800048828125
2025-03-03,2176.949951171875
2025-03-04,2155.949951171875
2025-03-05,2171.35009765625
2025-03-06,2219.550048828125
2025-03-07,2203.800048828125
2025-03-10,2247.75
2025-03-11,2217.300048828125
2025-03-12,2192.85009765625
2025-03-13,2175.85009765625
2025-03-17,2171.050048828125
2025-03-18,2201.64990234375
2025-03-19,2200.800048828125
2025-03-20,2241.800048828125
2025-03-21,2247.449951171875
2025-03-24,2256.14990234375
2025-03-25,2270.699951171875
2025-03-26,2243.85009765625
2025-03-27,2236.75
2025-03-28,2259.35009765625
2025-04-01,2233.64990234375
2025-04-02,2238.35009765625
2025-04-03,2245.199951171875
2025-04-04,2244.449951171875
